month_start,review_count
2011-07-01,2
2011-08-01,3
2011-09-01,2
2011-10-01,2
2011-11-01,3
2012-03-01,4
2012-04-01,4
2012-05-01,6
2012-06-01,8
2012-07-01,19
2012-08-01,14
2012-09-01,14
2012-10-01,10
2012-11-01,9
2012-12-01,10
2013-01-01,10
2013-02-01,21
2013-03-01,8
2013-04-01,12
2013-05-01,13
2013-06-01,18
2013-07-01,29
2013-08-01,30
2013-09-01,22
2013-10-01,28
2013-11-01,15
2013-12-01,10
2014-01-01,19
2014-02-01,24
2014-03-01,23
2014-04-01,43
2014-05-01,33
2014-06-01,35
2014-07-01,49
2014-08-01,58
2014-09-01,79
2014-10-01,70
2014-11-01,67
2014-12-01,56
2015-01-01,39
2015-02-01,66
2015-03-01,76
2015-04-01,103
2015-05-01,114
2015-06-01,127
2015-07-01,136
2015-08-01,105
2015-09-01,197
2015-10-01,168
2015-11-01,141
2015-12-01,119
2016-01-01,91
2016-02-01,165
2016-03-01,168
2016-04-01,170
2016-05-01,219
2016-06-01,223
2016-07-01,357
2016-08-01,334
2016-09-01,325
2016-10-01,367
2016-11-01,358
2016-12-01,285
2017-01-01,282
2017-02-01,354
2017-03-01,413
2017-04-01,506
2017-05-01,510
2017-06-01,585
2017-07-01,678
2017-08-01,584
2017-09-01,637
2017-10-01,660
2017-11-01,559
2017-12-01,498
2018-01-01,458
2018-02-01,558
2018-03-01,640
2018-04-01,742
2018-05-01,791
2018-06-01,852
2018-07-01,1075
2018-08-01,964
2018-09-01,1024
2018-10-01,998
2018-11-01,947
2018-12-01,794
2019-01-01,630
2019-02-01,927
2019-03-01,1125
2019-04-01,987
2019-05-01,1092
2019-06-01,1199
2019-07-01,1304
2019-08-01,1280
2019-09-01,1314
2019-10-01,1216
2019-11-01,1115
2019-12-01,992
2020-01-01,836
2020-02-01,1125
2020-03-01,774
2020-04-01,71
2020-05-01,21
2020-06-01,32
2020-07-01,508
2020-08-01,1112
2020-09-01,950
2020-10-01,915
2020-11-01,222
2020-12-01,214
2021-01-01,147
2021-02-01,115
2021-03-01,179
2021-04-01,651
2021-05-01,1023
2021-06-01,1188
2021-07-01,1519
2021-08-01,1948
2021-09-01,1628
2021-10-01,1649
2021-11-01,1392
2021-12-01,1126
2022-01-01,938
2022-02-01,1395
2022-03-01,1547
2022-04-01,1803
2022-05-01,1960
2022-06-01,1951
2022-07-01,2266
2022-08-01,2104
2022-09-01,2214
2022-10-01,2009
2022-11-01,1824
2022-12-01,1350
2023-01-01,1266
2023-02-01,1759
2023-03-01,1995
2023-04-01,2145
2023-05-01,2347
2023-06-01,2298
2023-07-01,2846
2023-08-01,2766
2023-09-01,2571
2023-10-01,2654
2023-11-01,2239
2023-12-01,1973
2024-01-01,1516
2024-02-01,2176
2024-03-01,2587
2024-04-01,2581
2024-05-01,3091
2024-06-01,3347
2024-07-01,3536
2024-08-01,3723
2024-09-01,3431
2024-10-01,3087
2024-11-01,2919
2024-12-01,2507
2025-01-01,1959
2025-02-01,2610
2025-03-01,1312
